id;algo;vertices;layer;fan;discRate;percNeg;cpMult;effort
1;SAA;16;4;3;25;25;1;206
2;HS;16;4;3;25;25;1;166
3;RS;16;4;3;25;25;1;696
4;SAA;16;4;3;25;25;1;199
5;HS;16;4;3;25;25;1;161
6;RS;16;4;3;25;25;1;658
7;SAA;16;4;3;25;25;1;167
8;HS;16;4;3;25;25;1;135
9;RS;16;4;3;25;25;1;463
10;SAA;16;4;3;25;25;1;452
11;HS;16;4;3;25;25;1;320
12;RS;16;4;3;25;25;1;649
13;SAA;16;4;3;25;25;1;236
14;HS;16;4;3;25;25;1;187
15;RS;16;4;3;25;25;1;330
16;SAA;16;4;3;25;25;1;314
17;HS;16;4;3;25;25;1;263
18;RS;16;4;3;25;25;1;278
19;SAA;16;4;3;25;25;1;310
20;HS;16;4;3;25;25;1;280
21;RS;16;4;3;25;25;1;1170
22;SAA;16;4;3;25;25;1;242
23;HS;16;4;3;25;25;1;174
24;RS;16;4;3;25;25;1;375
25;SAA;16;4;3;25;25;1;129
26;HS;16;4;3;25;25;1;89
27;RS;16;4;3;25;25;1;1077
28;SAA;16;4;3;25;25;1;270
29;HS;16;4;3;25;25;1;207
30;RS;16;4;3;25;25;1;684
31;SAA;16;4;3;25;50;1;100
32;HS;16;4;3;25;50;1;66
33;RS;16;4;3;25;50;1;121
34;SAA;16;4;3;25;50;1;143
35;HS;16;4;3;25;50;1;107
36;RS;16;4;3;25;50;1;184
37;SAA;16;4;3;25;50;1;281
38;HS;16;4;3;25;50;1;250
39;RS;16;4;3;25;50;1;1177
40;SAA;16;4;3;25;50;1;173
41;HS;16;4;3;25;50;1;114
42;RS;16;4;3;25;50;1;119
43;SAA;16;4;3;25;50;1;222
44;HS;16;4;3;25;50;1;152
45;RS;16;4;3;25;50;1;607
46;SAA;16;4;3;25;50;1;193
47;HS;16;4;3;25;50;1;140
48;RS;16;4;3;25;50;1;376
49;SAA;16;4;3;25;50;1;105
50;HS;16;4;3;25;50;1;68
51;RS;16;4;3;25;50;1;109
52;SAA;16;4;3;25;50;1;365
53;HS;16;4;3;25;50;1;235
54;RS;16;4;3;25;50;1;367
55;SAA;16;4;3;25;50;1;282
56;HS;16;4;3;25;50;1;171
57;RS;16;4;3;25;50;1;248
58;SAA;16;4;3;25;50;1;291
59;HS;16;4;3;25;50;1;193
60;RS;16;4;3;25;50;1;409
61;SAA;16;4;4;25;25;1;258
62;HS;16;4;4;25;25;1;224
63;RS;16;4;4;25;25;1;1014
64;SAA;16;4;4;25;25;1;239
65;HS;16;4;4;25;25;1;204
66;RS;16;4;4;25;25;1;1087
67;SAA;16;4;4;25;25;1;436
68;HS;16;4;4;25;25;1;370
69;RS;16;4;4;25;25;1;1128
70;SAA;16;4;4;25;25;1;204
71;HS;16;4;4;25;25;1;151
72;RS;16;4;4;25;25;1;374
73;SAA;16;4;4;25;25;1;314
74;HS;16;4;4;25;25;1;285
75;RS;16;4;4;25;25;1;708
76;SAA;16;4;4;25;25;1;379
77;HS;16;4;4;25;25;1;328
78;RS;16;4;4;25;25;1;739
79;SAA;16;4;4;25;25;1;458
80;HS;16;4;4;25;25;1;359
81;RS;16;4;4;25;25;1;866
82;SAA;16;4;4;25;25;1;146
83;HS;16;4;4;25;25;1;115
84;RS;16;4;4;25;25;1;450
85;SAA;16;4;4;25;25;1;388
86;HS;16;4;4;25;25;1;322
87;RS;16;4;4;25;25;1;834
88;SAA;16;4;4;25;25;1;218
89;HS;16;4;4;25;25;1;188
90;RS;16;4;4;25;25;1;307
91;SAA;16;4;4;25;50;1;207
92;HS;16;4;4;25;50;1;137
93;RS;16;4;4;25;50;1;211
94;SAA;16;4;4;25;50;1;198
95;HS;16;4;4;25;50;1;137
96;RS;16;4;4;25;50;1;357
97;SAA;16;4;4;25;50;1;265
98;HS;16;4;4;25;50;1;156
99;RS;16;4;4;25;50;1;229
100;SAA;16;4;4;25;50;1;173
101;HS;16;4;4;25;50;1;109
102;RS;16;4;4;25;50;1;367
103;SAA;16;4;4;25;50;1;184
104;HS;16;4;4;25;50;1;116
105;RS;16;4;4;25;50;1;227
106;SAA;16;4;4;25;50;1;131
107;HS;16;4;4;25;50;1;71
108;RS;16;4;4;25;50;1;75
109;SAA;16;4;4;25;50;1;161
110;HS;16;4;4;25;50;1;115
111;RS;16;4;4;25;50;1;241
112;SAA;16;4;4;25;50;1;158
113;HS;16;4;4;25;50;1;92
114;RS;16;4;4;25;50;1;137
115;SAA;16;4;4;25;50;1;113
116;HS;16;4;4;25;50;1;79
117;RS;16;4;4;25;50;1;346
118;SAA;16;4;4;25;50;1;136
119;HS;16;4;4;25;50;1;64
120;RS;16;4;4;25;50;1;125
121;SAA;16;6;3;25;25;1;161
122;HS;16;6;3;25;25;1;94
123;RS;16;6;3;25;25;1;389
124;SAA;16;6;3;25;25;1;525
125;HS;16;6;3;25;25;1;365
126;RS;16;6;3;25;25;1;697
127;SAA;16;6;3;25;25;1;206
128;HS;16;6;3;25;25;1;169
129;RS;16;6;3;25;25;1;764
130;SAA;16;6;3;25;25;1;307
131;HS;16;6;3;25;25;1;333
132;RS;16;6;3;25;25;1;1445
133;SAA;16;6;3;25;25;1;332
134;HS;16;6;3;25;25;1;264
135;RS;16;6;3;25;25;1;714
136;SAA;16;6;3;25;25;1;352
137;HS;16;6;3;25;25;1;218
138;RS;16;6;3;25;25;1;596
139;SAA;16;6;3;25;25;1;270
140;HS;16;6;3;25;25;1;228
141;RS;16;6;3;25;25;1;693
142;SAA;16;6;3;25;25;1;361
143;HS;16;6;3;25;25;1;235
144;RS;16;6;3;25;25;1;757
145;SAA;16;6;3;25;25;1;140
146;HS;16;6;3;25;25;1;99
147;RS;16;6;3;25;25;1;450
148;SAA;16;6;3;25;25;1;183
149;HS;16;6;3;25;25;1;148
150;RS;16;6;3;25;25;1;215
151;SAA;16;6;3;25;50;1;177
152;HS;16;6;3;25;50;1;137
153;RS;16;6;3;25;50;1;211
154;SAA;16;6;3;25;50;1;169
155;HS;16;6;3;25;50;1;76
156;RS;16;6;3;25;50;1;243
157;SAA;16;6;3;25;50;1;225
158;HS;16;6;3;25;50;1;128
159;RS;16;6;3;25;50;1;366
160;SAA;16;6;3;25;50;1;110
161;HS;16;6;3;25;50;1;58
162;RS;16;6;3;25;50;1;244
163;SAA;16;6;3;25;50;1;126
