Id;Batch;Instance;algo;vertices;layer;fan;disRate;percNeg;cpMult;Vertices;Edges;Diameter;Max in degree;Min in degree;Max out degree;Min out degree;Negative activities;Deadline;Last task Early Finish;effort;NPV
1;16-4-3-25-25-1;dg1.tpf;SAA;16;4;3;25;25;1;18;38;6;5;1;5;1;66,66666667;70;35;206;37,04
2;16-4-3-25-25-1;dg1.tpf;HS;16;4;3;25;25;1;18;38;6;5;1;5;1;66,66666667;70;35;166;37,04
3;16-4-3-25-25-1;dg1.tpf;RS;16;4;3;25;25;1;18;38;6;5;1;5;1;66,66666667;70;35;696;37,04
4;16-4-3-25-25-1;dg10.tpf;SAA;16;4;3;25;25;1;18;33;6;5;1;5;1;66,66666667;66;33;199;51,12
5;16-4-3-25-25-1;dg10.tpf;HS;16;4;3;25;25;1;18;33;6;5;1;5;1;66,66666667;66;33;161;51,12
6;16-4-3-25-25-1;dg10.tpf;RS;16;4;3;25;25;1;18;33;6;5;1;5;1;66,66666667;66;33;658;51,12
7;16-4-3-25-25-1;dg2.tpf;SAA;16;4;3;25;25;1;18;40;6;6;1;4;1;61,11111111;74;37;167;45,11
8;16-4-3-25-25-1;dg2.tpf;HS;16;4;3;25;25;1;18;40;6;6;1;4;1;61,11111111;74;37;135;45,11
9;16-4-3-25-25-1;dg2.tpf;RS;16;4;3;25;25;1;18;40;6;6;1;4;1;61,11111111;74;37;463;45,11
10;16-4-3-25-25-1;dg3.tpf;SAA;16;4;3;25;25;1;18;40;7;5;1;3;1;72,22222222;74;37;452;-1,23
11;16-4-3-25-25-1;dg3.tpf;HS;16;4;3;25;25;1;18;40;7;5;1;3;1;72,22222222;74;37;320;-1,23
12;16-4-3-25-25-1;dg3.tpf;RS;16;4;3;25;25;1;18;40;7;5;1;3;1;72,22222222;74;37;649;-1,23
13;16-4-3-25-25-1;dg4.tpf;SAA;16;4;3;25;25;1;18;37;6;6;1;7;1;66,66666667;50;25;236;49,64
14;16-4-3-25-25-1;dg4.tpf;HS;16;4;3;25;25;1;18;37;6;6;1;7;1;66,66666667;50;25;187;49,64
15;16-4-3-25-25-1;dg4.tpf;RS;16;4;3;25;25;1;18;37;6;6;1;7;1;66,66666667;50;25;330;49,64
16;16-4-3-25-25-1;dg5.tpf;SAA;16;4;3;25;25;1;18;38;6;6;1;7;1;77,77777778;62;31;314;0,98
17;16-4-3-25-25-1;dg5.tpf;HS;16;4;3;25;25;1;18;38;6;6;1;7;1;77,77777778;62;31;263;0,98
18;16-4-3-25-25-1;dg5.tpf;RS;16;4;3;25;25;1;18;38;6;6;1;7;1;77,77777778;62;31;278;0,98
19;16-4-3-25-25-1;dg6.tpf;SAA;16;4;3;25;25;1;18;39;6;6;1;5;1;77,77777778;76;38;310;47,8
20;16-4-3-25-25-1;dg6.tpf;HS;16;4;3;25;25;1;18;39;6;6;1;5;1;77,77777778;76;38;280;47,8
21;16-4-3-25-25-1;dg6.tpf;RS;16;4;3;25;25;1;18;39;6;6;1;5;1;77,77777778;76;38;1170;47,8
22;16-4-3-25-25-1;dg7.tpf;SAA;16;4;3;25;25;1;18;38;6;5;1;5;1;61,11111111;68;34;242;95,11
23;16-4-3-25-25-1;dg7.tpf;HS;16;4;3;25;25;1;18;38;6;5;1;5;1;61,11111111;68;34;174;95,11
24;16-4-3-25-25-1;dg7.tpf;RS;16;4;3;25;25;1;18;38;6;5;1;5;1;61,11111111;68;34;375;95,11
25;16-4-3-25-25-1;dg8.tpf;SAA;16;4;3;25;25;1;18;39;6;6;1;5;1;66,66666667;64;32;129;-14,54
26;16-4-3-25-25-1;dg8.tpf;HS;16;4;3;25;25;1;18;39;6;6;1;5;1;66,66666667;64;32;89;-14,54
27;16-4-3-25-25-1;dg8.tpf;RS;16;4;3;25;25;1;18;39;6;6;1;5;1;66,66666667;64;32;1077;-14,54
28;16-4-3-25-25-1;dg9.tpf;SAA;16;4;3;25;25;1;18;38;7;7;1;3;1;66,66666667;68;34;270;45,72
