batch,Instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,percNeg,par_CP,vertices,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,effort,NPV,time
"['50', '10', '2', '10', '0']",dg1.tpf,SAA,50,10,2,10,0,1,52,94,7,2,1,"1,551020408",2,1,"1,551020408","0,1",0,104,52,113,"509,2719684",0
"['50', '10', '2', '10', '0']",dg1.tpf,HS,50,10,2,10,0,1,52,94,7,2,1,"1,551020408",2,1,"1,551020408","0,1",0,104,52,52,"509,2719684",0
"['50', '10', '2', '10', '0']",dg1.tpf,RS,50,10,2,10,0,1,52,94,7,2,1,"1,551020408",2,1,"1,551020408","0,1",0,104,52,52,"509,2719684",0
"['50', '10', '2', '10', '0']",dg10.tpf,SAA,50,10,2,10,0,1,52,92,9,2,1,"1,530612245",2,1,"1,612244898","0,1",0,120,60,131,"434,4932236",0
"['50', '10', '2', '10', '0']",dg10.tpf,HS,50,10,2,10,0,1,52,92,9,2,1,"1,530612245",2,1,"1,612244898","0,1",0,120,60,52,"434,4932236",0
"['50', '10', '2', '10', '0']",dg10.tpf,RS,50,10,2,10,0,1,52,92,9,2,1,"1,530612245",2,1,"1,612244898","0,1",0,120,60,52,"434,4932236",0
"['50', '10', '2', '10', '0']",dg2.tpf,SAA,50,10,2,10,0,1,52,96,8,2,1,"1,591836735",2,1,"1,591836735","0,1",0,108,54,116,"504,4171163",0
"['50', '10', '2', '10', '0']",dg2.tpf,HS,50,10,2,10,0,1,52,96,8,2,1,"1,591836735",2,1,"1,591836735","0,1",0,108,54,52,"504,4171163",0
"['50', '10', '2', '10', '0']",dg2.tpf,RS,50,10,2,10,0,1,52,96,8,2,1,"1,591836735",2,1,"1,591836735","0,1",0,108,54,52,"504,4171163","0,00099730492"
"['50', '10', '2', '10', '0']",dg3.tpf,SAA,50,10,2,10,0,1,52,96,8,2,1,"1,612244898",2,1,"1,673469388","0,1",0,124,62,115,"400,0040821",0
"['50', '10', '2', '10', '0']",dg3.tpf,HS,50,10,2,10,0,1,52,96,8,2,1,"1,612244898",2,1,"1,673469388","0,1",0,124,62,52,"400,0040821",0
"['50', '10', '2', '10', '0']",dg3.tpf,RS,50,10,2,10,0,1,52,96,8,2,1,"1,612244898",2,1,"1,673469388","0,1",0,124,62,52,"400,0040821",0
"['50', '10', '2', '10', '0']",dg4.tpf,SAA,50,10,2,10,0,1,52,95,8,2,1,"1,612244898",2,1,"1,571428571","0,1",0,118,59,117,"562,6305723","0,00099754333"
"['50', '10', '2', '10', '0']",dg4.tpf,HS,50,10,2,10,0,1,52,95,8,2,1,"1,612244898",2,1,"1,571428571","0,1",0,118,59,52,"562,6305723",0
"['50', '10', '2', '10', '0']",dg4.tpf,RS,50,10,2,10,0,1,52,95,8,2,1,"1,612244898",2,1,"1,571428571","0,1",0,118,52,52,"562,6305723",0
"['50', '10', '2', '10', '0']",dg5.tpf,SAA,50,10,2,10,0,1,52,93,7,2,1,"1,571428571",2,1,"1,571428571","0,1",0,102,51,120,"558,7080868",0
"['50', '10', '2', '10', '0']",dg5.tpf,HS,50,10,2,10,0,1,52,93,7,2,1,"1,571428571",2,1,"1,571428571","0,1",0,102,51,52,"558,7080868",0
"['50', '10', '2', '10', '0']",dg5.tpf,RS,50,10,2,10,0,1,52,93,7,2,1,"1,571428571",2,1,"1,571428571","0,1",0,102,51,52,"558,7080868",0
"['50', '10', '2', '10', '0']",dg6.tpf,SAA,50,10,2,10,0,1,52,93,9,2,1,"1,551020408",2,1,"1,612244898","0,1",0,104,52,124,"470,7473694",0
"['50', '10', '2', '10', '0']",dg6.tpf,HS,50,10,2,10,0,1,52,93,9,2,1,"1,551020408",2,1,"1,612244898","0,1",0,104,52,52,"470,7473694",0
"['50', '10', '2', '10', '0']",dg6.tpf,RS,50,10,2,10,0,1,52,93,9,2,1,"1,551020408",2,1,"1,612244898","0,1",0,104,52,52,"470,7473694",0
"['50', '10', '2', '10', '0']",dg7.tpf,SAA,50,10,2,10,0,1,52,95,8,2,1,"1,551020408",2,1,"1,632653061","0,1",0,100,50,116,"442,6656029",0
"['50', '10', '2', '10', '0']",dg7.tpf,HS,50,10,2,10,0,1,52,95,8,2,1,"1,551020408",2,1,"1,632653061","0,1",0,100,50,52,"442,6656029",0
"['50', '10', '2', '10', '0']",dg7.tpf,RS,50,10,2,10,0,1,52,95,8,2,1,"1,551020408",2,1,"1,632653061","0,1",0,100,50,52,"442,6656029",0
"['50', '10', '2', '10', '0']",dg8.tpf,SAA,50,10,2,10,0,1,52,94,8,2,1,"1,571428571",2,1,"1,612244898","0,1",0,108,54,119,"510,7916004",0
"['50', '10', '2', '10', '0']",dg8.tpf,HS,50,10,2,10,0,1,52,94,8,2,1,"1,571428571",2,1,"1,612244898","0,1",0,108,54,52,"510,7916004",0
"['50', '10', '2', '10', '0']",dg8.tpf,RS,50,10,2,10,0,1,52,94,8,2,1,"1,571428571",2,1,"1,612244898","0,1",0,108,54,52,"510,7916004",0
"['50', '10', '2', '10', '0']",dg9.tpf,SAA,50,10,2,10,0,1,52,94,9,2,1,"1,530612245",2,1,"1,632653061","0,1",0,150,75,128,"423,203381",0
"['50', '10', '2', '10', '0']",dg9.tpf,HS,50,10,2,10,0,1,52,94,9,2,1,"1,530612245",2,1,"1,632653061","0,1",0,150,75,52,"423,203381",0
"['50', '10', '2', '10', '0']",dg9.tpf,RS,50,10,2,10,0,1,52,94,9,2,1,"1,530612245",2,1,"1,632653061","0,1",0,150,75,52,"423,203381","0,01562166214"
"['50', '10', '2', '10', '0']",dg1.tpf,SAA,50,10,2,10,0,2,52,98,7,2,1,"1,530612245",2,1,"1,591836735","0,1",0,138,46,94,"743,9743145",0
"['50', '10', '2', '10', '0']",dg1.tpf,HS,50,10,2,10,0,2,52,98,7,2,1,"1,530612245",2,1,"1,591836735","0,1",0,138,46,52,"743,9743145",0
"['50', '10', '2', '10', '0']",dg1.tpf,RS,50,10,2,10,0,2,52,98,7,2,1,"1,530612245",2,1,"1,591836735","0,1",0,138,46,52,"743,9743145",0
"['50', '10', '2', '10', '0']",dg10.tpf,SAA,50,10,2,10,0,2,52,94,8,2,1,"1,591836735",2,1,"1,612244898","0,1",0,183,61,126,"611,8981138",0
"['50', '10', '2', '10', '0']",dg10.tpf,HS,50,10,2,10,0,2,52,94,8,2,1,"1,591836735",2,1,"1,612244898","0,1",0,183,61,52,"611,8981138",0
"['50', '10', '2', '10', '0']",dg10.tpf,RS,50,10,2,10,0,2,52,94,8,2,1,"1,591836735",2,1,"1,612244898","0,1",0,183,61,52,"611,8981138",0
"['50', '10', '2', '10', '0']",dg2.tpf,SAA,50,10,2,10,0,2,52,97,8,2,1,"1,571428571",2,1,"1,653061224","0,1",0,147,49,110,"599,4789269",0
"['50', '10', '2', '10', '0']",dg2.tpf,HS,50,10,2,10,0,2,52,97,8,2,1,"1,571428571",2,1,"1,653061224","0,1",0,147,49,52,"599,4789269",0
