id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
1,SAA,50,10,2,10,0,1,113,0
2,HS,50,10,2,10,0,1,52,0
3,RS,50,10,2,10,0,1,52,0
4,SAA,50,10,2,10,0,1,131,0
5,HS,50,10,2,10,0,1,52,0
6,RS,50,10,2,10,0,1,52,0
7,SAA,50,10,2,10,0,1,116,0
8,HS,50,10,2,10,0,1,52,0
9,RS,50,10,2,10,0,1,52,"0,00099730492"
10,SAA,50,10,2,10,0,1,115,0
11,HS,50,10,2,10,0,1,52,0
12,RS,50,10,2,10,0,1,52,0
13,SAA,50,10,2,10,0,1,117,"0,00099754333"
14,HS,50,10,2,10,0,1,52,0
15,RS,50,10,2,10,0,1,52,0
16,SAA,50,10,2,10,0,1,120,0
17,HS,50,10,2,10,0,1,52,0
18,RS,50,10,2,10,0,1,52,0
19,SAA,50,10,2,10,0,1,124,0
20,HS,50,10,2,10,0,1,52,0
21,RS,50,10,2,10,0,1,52,0
22,SAA,50,10,2,10,0,1,116,0
23,HS,50,10,2,10,0,1,52,0
24,RS,50,10,2,10,0,1,52,0
25,SAA,50,10,2,10,0,1,119,0
26,HS,50,10,2,10,0,1,52,0
27,RS,50,10,2,10,0,1,52,0
28,SAA,50,10,2,10,0,1,128,0
29,HS,50,10,2,10,0,1,52,0
30,RS,50,10,2,10,0,1,52,"0,01562166214"
31,SAA,50,10,2,10,0,2,94,0
32,HS,50,10,2,10,0,2,52,0
33,RS,50,10,2,10,0,2,52,0
34,SAA,50,10,2,10,0,2,126,0
35,HS,50,10,2,10,0,2,52,0
36,RS,50,10,2,10,0,2,52,0
37,SAA,50,10,2,10,0,2,110,0
38,HS,50,10,2,10,0,2,52,0
39,RS,50,10,2,10,0,2,52,0
40,SAA,50,10,2,10,0,2,107,0
41,HS,50,10,2,10,0,2,52,0
42,RS,50,10,2,10,0,2,52,0
43,SAA,50,10,2,10,0,2,106,0
44,HS,50,10,2,10,0,2,52,0
45,RS,50,10,2,10,0,2,52,0
46,SAA,50,10,2,10,0,2,110,0
47,HS,50,10,2,10,0,2,52,0
48,RS,50,10,2,10,0,2,52,0
49,SAA,50,10,2,10,0,2,112,"0,0156185627"
50,HS,50,10,2,10,0,2,52,0
51,RS,50,10,2,10,0,2,52,0
52,SAA,50,10,2,10,0,2,109,0
53,HS,50,10,2,10,0,2,52,0
54,RS,50,10,2,10,0,2,52,0
55,SAA,50,10,2,10,0,2,108,"0,0009970665"
56,HS,50,10,2,10,0,2,52,0
57,RS,50,10,2,10,0,2,52,0
58,SAA,50,10,2,10,0,2,95,0
59,HS,50,10,2,10,0,2,52,0
60,RS,50,10,2,10,0,2,52,0
61,SAA,50,10,2,10,100,1,2264,"0,03124189377"
62,HS,50,10,2,10,100,1,2151,"0,00651025772"
63,RS,50,10,2,10,100,1,10961,"0,07810473442"
64,SAA,50,10,2,10,100,1,2274,"0,01562738419"
65,HS,50,10,2,10,100,1,2158,"0,01562094688"
66,RS,50,10,2,10,100,1,9862,"0,06900072098"
67,SAA,50,10,2,10,100,1,2266,"0,01562190056"
68,HS,50,10,2,10,100,1,2165,"0,00650763512"
69,RS,50,10,2,10,100,1,10523,"0,0838599205"
70,SAA,50,10,2,10,100,1,2267,"0,00897693634"
71,HS,50,10,2,10,100,1,2147,"0,00498628616"
72,RS,50,10,2,10,100,1,12100,"0,07380318642"
73,SAA,50,10,2,10,100,1,2327,"0,01495957375"
74,HS,50,10,2,10,100,1,2206,0
75,RS,50,10,2,10,100,1,17286,"0,1326913834"
76,SAA,50,10,2,10,100,1,2187,"0,01721954346"
77,HS,50,10,2,10,100,1,2071,"0,01562261581"
78,RS,50,10,2,10,100,1,6040,"0,04687070847"
79,SAA,50,10,2,10,100,1,2196,"0,01562070847"
80,HS,50,10,2,10,100,1,2080,"0,01562738419"
81,RS,50,10,2,10,100,1,14263,"0,131483078"
82,SAA,50,10,2,10,100,1,2124,"0,00650763512"
83,HS,50,10,2,10,100,1,2023,"0,01562094688"
84,RS,50,10,2,10,100,1,5779,"0,05336952209"
85,SAA,50,10,2,10,100,1,2154,"0,0156223774"
86,HS,50,10,2,10,100,1,2041,0
87,RS,50,10,2,10,100,1,21143,"0,1627323628"
88,SAA,50,10,2,10,100,1,2189,0
89,HS,50,10,2,10,100,1,2075,"0,01562666893"
90,RS,50,10,2,10,100,1,15342,"0,1314847469"
91,SAA,50,10,2,10,100,2,2042,"0,01562142372"
92,HS,50,10,2,10,100,2,1937,0
93,RS,50,10,2,10,100,2,8276,"0,1158766747"
94,SAA,50,10,2,10,100,2,2265,"0,01562190056"
95,HS,50,10,2,10,100,2,2158,"0,01562952995"
96,RS,50,10,2,10,100,2,8302,"0,06248474121"
97,SAA,50,10,2,10,100,2,2076,"0,01561903954"
98,HS,50,10,2,10,100,2,1961,"0,01562285423"
99,RS,50,10,2,10,100,2,12510,"0,07811379433"
100,SAA,50,10,2,10,100,2,2238,"0,01562213898"
101,HS,50,10,2,10,100,2,2136,0
102,RS,50,10,2,10,100,2,6282,"0,04687094688"
103,SAA,50,10,2,10,100,2,2298,"0,01562070847"
104,HS,50,10,2,10,100,2,2197,0
105,RS,50,10,2,10,100,2,10227,"0,1002440453"
106,SAA,50,10,2,10,100,2,2302,"0,01562356949"
107,HS,50,10,2,10,100,2,2199,"0,01562833786"
108,RS,50,10,2,10,100,2,6480,"0,05376601219"
109,SAA,50,10,2,10,100,2,2164,0
110,HS,50,10,2,10,100,2,2052,"0,0156223774"
111,RS,50,10,2,10,100,2,8713,"0,06899762154"
112,SAA,50,10,2,10,100,2,2154,0
113,HS,50,10,2,10,100,2,2064,"0,01562929153"
114,RS,50,10,2,10,100,2,6904,"0,04686379433"
115,SAA,50,10,2,10,100,2,2227,0
116,HS,50,10,2,10,100,2,2126,"0,0156223774"
117,RS,50,10,2,10,100,2,6748,"0,05336904526"
118,SAA,50,10,2,10,100,2,2233,"0,01561880112"
119,HS,50,10,2,10,100,2,2106,"0,01562142372"
120,RS,50,10,2,10,100,2,14935,"0,1186811924"
121,SAA,50,10,2,10,20,1,559,"0,00299191475"
122,HS,50,10,2,10,20,1,331,"0,00099730492"
123,RS,50,10,2,10,20,1,534,"0,00398755074"
124,SAA,50,10,2,10,20,1,292,"0,00199460983"
125,HS,50,10,2,10,20,1,153,"0,00099802017"
126,RS,50,10,2,10,20,1,295,"0,00398945808"
127,SAA,50,10,2,10,20,1,1018,"0,00997304916"
128,HS,50,10,2,10,20,1,407,"0,00299239159"
129,RS,50,10,2,10,20,1,517,"0,00199365616"
130,SAA,50,10,2,10,20,1,672,"0,00897359848"
131,HS,50,10,2,10,20,1,286,"0,00199723244"
132,RS,50,10,2,10,20,1,357,"0,00099635124"
133,SAA,50,10,2,10,20,1,423,"0,00997066498"
134,HS,50,10,2,10,20,1,170,"0,00099849701"
135,RS,50,10,2,10,20,1,142,"0,00199460983"
136,SAA,50,10,2,10,20,1,894,"0,00598406792"
137,HS,50,10,2,10,20,1,369,"0,00498652458"
138,RS,50,10,2,10,20,1,632,"0,00598359108"
139,SAA,50,10,2,10,20,1,435,"0,00598144531"
140,HS,50,10,2,10,20,1,191,"0,00299215317"
141,RS,50,10,2,10,20,1,174,"0,00199341774"
142,SAA,50,10,2,10,20,1,312,"0,001994133"
143,HS,50,10,2,10,20,1,161,"0,00099754333"
144,RS,50,10,2,10,20,1,255,"0,00299310684"
145,SAA,50,10,2,10,20,1,527,"0,00498652458"
146,HS,50,10,2,10,20,1,234,"0,00099730492"
147,RS,50,10,2,10,20,1,285,"0,00199365616"
148,SAA,50,10,2,10,20,1,347,"0,00398993492"
149,HS,50,10,2,10,20,1,176,"0,00199460983"
150,RS,50,10,2,10,20,1,337,"0,00199341774"
151,SAA,50,10,2,10,20,2,458,"0,00398826599"
152,HS,50,10,2,10,20,2,211,"0,00299406052"
153,RS,50,10,2,10,20,2,242,"0,00199341774"
154,SAA,50,10,2,10,20,2,495,"0,00351119041"
155,HS,50,10,2,10,20,2,216,0
156,RS,50,10,2,10,20,2,235,0
157,SAA,50,10,2,10,20,2,298,0
158,HS,50,10,2,10,20,2,128,0
159,RS,50,10,2,10,20,2,249,0
160,SAA,50,10,2,10,20,2,455,0
161,HS,50,10,2,10,20,2,191,0
162,RS,50,10,2,10,20,2,265,0
163,SAA,50,10,2,10,20,2,481,0
164,HS,50,10,2,10,20,2,254,0
165,RS,50,10,2,10,20,2,410,"0,01562261581"
166,SAA,50,10,2,10,20,2,502,0
167,HS,50,10,2,10,20,2,226,0
168,RS,50,10,2,10,20,2,363,0
169,SAA,50,10,2,10,20,2,943,"0,01561951637"
170,HS,50,10,2,10,20,2,443,0
171,RS,50,10,2,10,20,2,979,0
172,SAA,50,10,2,10,20,2,263,0
173,HS,50,10,2,10,20,2,112,0
174,RS,50,10,2,10,20,2,128,"0,00099682808"
175,SAA,50,10,2,10,20,2,561,"0,01562404633"
176,HS,50,10,2,10,20,2,302,"0,01562023163"
177,RS,50,10,2,10,20,2,554,"0,01562285423"
178,SAA,50,10,2,10,20,2,497,0
179,HS,50,10,2,10,20,2,276,0
180,RS,50,10,2,10,20,2,502,0
181,SAA,50,10,2,10,40,1,1100,"0,01562166214"
182,HS,50,10,2,10,40,1,726,0
183,RS,50,10,2,10,40,1,884,0
184,SAA,50,10,2,10,40,1,1088,0
185,HS,50,10,2,10,40,1,731,"0,01562643051"
186,RS,50,10,2,10,40,1,3053,"0,01561999321"
187,SAA,50,10,2,10,40,1,728,"0,01562166214"
188,HS,50,10,2,10,40,1,503,"0,0156211853"
189,RS,50,10,2,10,40,1,1556,"0,01562023163"
190,SAA,50,10,2,10,40,1,882,"0,01296615601"
191,HS,50,10,2,10,40,1,539,"0,00598526001"
192,RS,50,10,2,10,40,1,1157,"0,00797843933"
193,SAA,50,10,2,10,40,1,792,"0,004986763"
194,HS,50,10,2,10,40,1,555,0
195,RS,50,10,2,10,40,1,1092,"0,01562213898"
196,SAA,50,10,2,10,40,1,1107,"0,02249193192"
197,HS,50,10,2,10,40,1,642,0
198,RS,50,10,2,10,40,1,1374,0
199,SAA,50,10,2,10,40,1,1099,0
200,HS,50,10,2,10,40,1,824,0
201,RS,50,10,2,10,40,1,2907,"0,01562666893"
202,SAA,50,10,2,10,40,1,814,"0,0156223774"
203,HS,50,10,2,10,40,1,579,0
204,RS,50,10,2,10,40,1,1171,0
205,SAA,50,10,2,10,40,1,668,"0,0156223774"
206,HS,50,10,2,10,40,1,432,0
207,RS,50,10,2,10,40,1,904,"0,00797939301"
208,SAA,50,10,2,10,40,1,1317,0
209,HS,50,10,2,10,40,1,642,"0,0156223774"
210,RS,50,10,2,10,40,1,1453,"0,01501107216"
211,SAA,50,10,2,10,40,2,601,"0,01562190056"
212,HS,50,10,2,10,40,2,335,0
213,RS,50,10,2,10,40,2,574,0
214,SAA,50,10,2,10,40,2,691,"0,01562786102"
215,HS,50,10,2,10,40,2,410,0
